Name,Date,Location,Type,Region,Weather
The Moors,3/22/2024 through 4/14/2024 |  Seattle Public Theater, Seattle Public Theater,Theatre,Wallingford / Greenlake,No forecast available
Mahler Symphony No. 3,4/11/2024 through 4/14/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024 |  Magnuson Park, Magnuson Park,Festivals & Special Events,University District,No forecast available
An Evening with Jinjoo Cho,4/19/2024 |  415 Westlake, 415 Westlake,Music,Queen Anne / Seattle Center,No forecast available
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
The Seasons’ Canon,4/12/2024 through 4/21/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,No forecast available
DRUM TAO 30th Anniversary,4/22/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Disney’s Aladdin,4/24/2024 through 4/28/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,No forecast available
Antarctic Symphony,4/25/2024 through 4/28/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Shine On Seattle,1/30/2024 through 4/29/2024 |  Pioneer Square, Pioneer Square,Festivals & Special Events,Pioneer Square,No forecast available
Noah Geller’s Playlist,5/3/2024 through 5/4/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Broadway Spectacular,5/4/2024 |  Cornish Playhouse at Seattle Center, Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center,Location not found
Jessica Jackson Hutchins: Wrecked and Righteous,1/27/2024 through 5/5/2024 |  Frye Art Museum, Frye Art Museum,Museums,Capitol Hill / Central District,No forecast available
The Lion Tells His Tale,5/1/2024 through 5/5/2024 |  Broadway Performance Hall, Broadway Performance Hall,Theatre,Capitol Hill / Central District,No forecast available
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024 |  Wing Luke Museum, Wing Luke Museum,Museums,International District,No forecast available
Fat Ham,4/12/2024 through 5/12/2024 |  Seattle Rep, Seattle Rep,Theatre,Queen Anne / Seattle Center,No forecast available
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024 |  Seattle Children's Theatre, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,No forecast available
The Lehman Trilogy,4/26/2024 through 5/12/2024 |  ACT Theatre, ACT Theatre,Theatre,Downtown,No forecast available
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024 |  Benaroya Hall, Benaroya Hall,Readings & Lectures,Downtown,No forecast available
Mother,5/17/2024 |  415 Westlake, 415 Westlake,Music,Queen Anne / Seattle Center,No forecast available
Barber Violin Concerto,5/16/2024 through 5/18/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
The Barber of Seville,5/4/2024 through 5/24/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,No forecast available
Unriveled,5/10/2024 through 6/2/2024 |  Seattle Public Theater, Seattle Public Theater,Theatre,Wallingford / Greenlake,No forecast available
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,No forecast available
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Beethoven Symphony No. 5,6/13/2024 through 6/15/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024 |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,No forecast available
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
"Together Again, Again!",5/31/2024 through 6/23/2024 |  Seattle Rep, Seattle Rep,Theatre,Queen Anne / Seattle Center,No forecast available
Lip Sync for Our Rights,6/22/2024 through 6/23/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,No forecast available
Company,6/23/2024 through 6/28/2024 |  The Paramount Theatre, The Paramount Theatre,Music,Downtown,No forecast available
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024 |  Henry Art Gallery, Henry Art Gallery,Museums,University District,No forecast available
Spring Awakening,6/7/2024 through 6/30/2024 |  The 5th Avenue Theatre, The 5th Avenue Theatre,Theatre,Downtown,No forecast available
Girl From The North Country,6/25/2024 through 6/30/2024 |  The Paramount Theatre, The Paramount Theatre,Music,Downtown,No forecast available
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024 |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,No forecast available
Clue,7/9/2024 through 7/21/2024 |  The 5th Avenue Theatre, The 5th Avenue Theatre,Theatre,Downtown,No forecast available
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024 |  Wing Luke Museum, Wing Luke Museum,Museums,International District,No forecast available
Olivia Rodrigo,8/6/2024 through 8/7/2024 |  Climate Pledge Arena, Climate Pledge Arena,Music,Queen Anne / Seattle Center,No forecast available
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024 |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,No forecast available
Sound Check! The Music We Make,Now through 9/14/2024 |  Wing Luke Museum, Wing Luke Museum,Museums,International District,No forecast available
Raul de Nieves,Now through 9/30/2024 |  Henry Art Gallery, Henry Art Gallery,Museums,University District,No forecast available
Frye Salon,Now through 10/27/2024 |  Frye Art Museum, Frye Art Museum,Museums,Capitol Hill / Central District,No forecast available
On Native Land: Landscapes from the Haub Family Collection,Now through 11/17/2024 |  Tacoma Art Museum, Tacoma Art Museum,Museums,South,No forecast available
Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026 |  Bellevue Arts Museum, Bellevue Arts Museum,Museums,Bellevue / Eastside,No forecast available
Explore The Market,Ongoing |  Pike Place Market, Pike Place Market,Festivals & Special Events,Downtown,No forecast available
Olympic Sculpture Park,Ongoing |  Olympic Sculpture Park, Olympic Sculpture Park,Visual Arts & Galleries,Downtown,No forecast available
Infinite Worlds of Science Fiction,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,No forecast available
"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,No forecast available
John Grade: Middle Fork,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,No forecast available
Scared to Death: The Thrill of Horror Film,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,No forecast available
Nirvana: Taking Punk To the Masses,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,No forecast available
Vietnam Divided: War Above Southeast Asia,Ongoing |  The Museum of Flight, The Museum of Flight,Museums,South Seattle,No forecast available
Science Fiction and Fantasy Hall of Fame,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,No forecast available
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing |  Wing Luke Museum, Wing Luke Museum,Museums,International District,No forecast available
Honoring Our Journey,Ongoing |  Wing Luke Museum, Wing Luke Museum,Museums,International District,No forecast available
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing |  Museum of Glass, Museum of Glass,Museums,South,No forecast available
Great Hall of Washington History,Ongoing |  Washington State History Museum, Washington State History Museum,Museums,South,No forecast available
Humboldt Penguin Exhibit,Ongoing |  Woodland Park Zoo, Woodland Park Zoo,Museums,Wallingford / Greenlake,No forecast available
Giant Pacific Octopus,Ongoing |  Seattle Aquarium, Seattle Aquarium,Museums,Downtown,No forecast available
Meet our Marine Mammals,Ongoing |  Seattle Aquarium, Seattle Aquarium,Museums,Downtown,No forecast available
Window on Washington Waters,Ongoing |  Seattle Aquarium, Seattle Aquarium,Museums,Downtown,No forecast available
Guitar Gallery,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,No forecast available
Nordic Journeys,Ongoing |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,No forecast available
Baird’s beaked whale,Ongoing |  Burke Museum, Burke Museum,Museums,University District,No forecast available
Amazing Life,Ongoing |  Burke Museum, Burke Museum,Museums,University District,No forecast available
Culture is Living,Ongoing |  Burke Museum, Burke Museum,Museums,University District,No forecast available
Fossils Uncovered,Ongoing |  Burke Museum, Burke Museum,Museums,University District,No forecast available
Northwest Native Art,Ongoing |  Burke Museum, Burke Museum,Museums,University District,No forecast available
Our Material World,Ongoing |  Burke Museum, Burke Museum,Museums,University District,No forecast available
Apollo,Ongoing |  The Museum of Flight, The Museum of Flight,Museums,South Seattle,No forecast available
Art and Life Along the Northwest Coast,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,No forecast available
Washington: My Home,Ongoing |  Washington State History Museum, Washington State History Museum,Museums,South,No forecast available
Sensory-Friendly Programs,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Festivals & Special Events,Queen Anne / Seattle Center,No forecast available
Dale Chihuly at Tacoma Art Museum,Ongoing |  Tacoma Art Museum, Tacoma Art Museum,Museums,South,No forecast available
Be/longing: Contemporary Asian Art,Ongoing |  Seattle Asian Art Museum, Seattle Asian Art Museum,Museums,Capitol Hill / Central District,No forecast available
Porcelain Room,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,No forecast available
Life on the Edge,Ongoing |  Seattle Aquarium, Seattle Aquarium,Museums,Downtown,No forecast available
Tropical Pacific,Ongoing |  Seattle Aquarium, Seattle Aquarium,Museums,Downtown,No forecast available
Underwater Dome,Ongoing |  Seattle Aquarium, Seattle Aquarium,Museums,Downtown,No forecast available
Meet the Animals,Ongoing |  Woodland Park Zoo, Woodland Park Zoo,Museums,Wallingford / Greenlake,No forecast available
Chihuly Garden and Glass,Ongoing |  Chihuly Garden and Glass, Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,No forecast available
Discover Ancient Coast Salish Culture,Ongoing |  Hibulb Cultural Center, Hibulb Cultural Center,Museums,North,No forecast available
Savor Seattle Signature Tour: Pike Place Market,Ongoing |  Pike Place Market, Pike Place Market,Tours & Attractions,Downtown,No forecast available
Untold Stories: World War II at 75,Ongoing |  The Museum of Flight, The Museum of Flight,Museums,South Seattle,No forecast available
Bezos Center for Innovation,Ongoing |  Museum of History & Industry, Museum of History & Industry,Museums,Queen Anne / Seattle Center,No forecast available
Maritime Seattle,Ongoing |  Museum of History & Industry, Museum of History & Industry,Museums,Queen Anne / Seattle Center,No forecast available
True Northwest: The Seattle Journey,Ongoing |  Museum of History & Industry, Museum of History & Industry,Museums,Queen Anne / Seattle Center,No forecast available
Metaphor into Form: Art in the Era of the Pilchuck Glass School,Ongoing |  Tacoma Art Museum, Tacoma Art Museum,Museums,South,No forecast available
Winter in the West,Ongoing |  Tacoma Art Museum, Tacoma Art Museum,Museums,South,No forecast available
Ballard Farmers Market – Sunday,Ongoing |  Ballard Farmers Market, Ballard Farmers Market,Festivals & Special Events,Fremont / Ballard,Location not found
Capitol Hill Farmers Market – Sunday,Ongoing |  Capitol Hill Farmers Market, Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District,No forecast available
University District Farmers Market,Ongoing |  University District Farmers Market, University District Farmers Market,Festivals & Special Events,University District,No forecast available
Fremont Sunday Market,Ongoing |  Fremont Farmers Market, Fremont Farmers Market,Festivals & Special Events,Fremont / Ballard,No forecast available
Chihuly Garden and Glass Gallery Talks & Tours,Ongoing |  Chihuly Garden and Glass, Chihuly Garden and Glass,Tours & Attractions,Queen Anne / Seattle Center,No forecast available
Boundless: Stories of Asian Art,Ongoing |  Seattle Asian Art Museum, Seattle Asian Art Museum,Museums,Capitol Hill / Central District,No forecast available
Kenzan Tsutakawa-Chinn: Gather,Ongoing |  Seattle Asian Art Museum, Seattle Asian Art Museum,Museums,Capitol Hill / Central District,No forecast available
Art Walk Edmonds | Every Third Thursday,Ongoing |  Cascadia Art Museum, Cascadia Art Museum,Visual Arts & Galleries,North,No forecast available
Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing |  MoPOP Museum of Pop Culture, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,No forecast available
Show Me Seattle Tours,"Ongoing |  Seattle, WA"," Seattle, WA",Tours & Attractions,Downtown,No forecast available
LeMay – America’s Car Museum,Ongoing |  LeMay - America's Car Museum, LeMay - America's Car Museum,Museums,South,No forecast available
History Link Tours,"Ongoing |  Seattle, WA"," Seattle, WA",Tours & Attractions,Downtown,No forecast available
West Seattle Farmers Market – Sundays,Ongoing |  West Seattle Farmers Market, West Seattle Farmers Market,Festivals & Special Events,West Seattle,No forecast available
REMEMBRANCE: The Legacy of Executive Order 9066 in Washington State,Ongoing |  Washington State History Museum, Washington State History Museum,Museums,South,No forecast available
Pioneer Square First Thursday Art Walk,Ongoing |  Pioneer Square, Pioneer Square,Visual Arts & Galleries,Pioneer Square,No forecast available
Deities and Demons: Supernatural in Japanese Art,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,No forecast available
American Art: The Stories We Carry,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,No forecast available
Pacific Species,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,No forecast available
Reverberations: Contemporary Art and Modern Classics,Ongoing |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,No forecast available
75 Years of Porsche,Ongoing |  LeMay - America's Car Museum, LeMay - America's Car Museum,Museums,South,No forecast available
Manazma Sheen,Ongoing |  Sea Monster Lounge, Sea Monster Lounge,Music,Wallingford / Greenlake,No forecast available
