Name,Date,Location,Type,Region,Weather
Circa:Humans 2.0,2/15/2024 through 2/17/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Theatre,University District,Location not found
Jon Batiste,2/17/2024 |  The Paramount Theatre, The Paramount Theatre,Music,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
TobyMac Hits Deep 2024,2/17/2024 |  accesso ShoWare Center, accesso ShoWare Center,Music,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
A Case for the Existence of God,2/2/2024 through 2/18/2024 |  ACT Theatre, ACT Theatre,Theatre,Downtown,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024 |  Seattle Convention Center, Seattle Convention Center,Festivals & Special Events,Downtown,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Madonna,2/17/2024 through 2/18/2024 |  Climate Pledge Arena, Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024 |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Detroit Red Wings,2/19/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
From Mozart to Matthews,2/20/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Lukas Nelson,2/20/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Mahogany – smARTfilms: Black Luxury,2/20/2024 |  Bainbridge Island Museum of Art, Bainbridge Island Museum of Art,Film & Media Arts,West,"Rain likely. Mostly cloudy, with a high near 47. South southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
"Wu Han, Philip Setzer & David Finckel",2/20/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Music,University District,Location not found
The Cookers,2/20/2024 through 2/21/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Vancouver Canucks,2/22/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Funky Friday with F2D,Now through 2/23/2024 |  Sea Monster Lounge, Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Opera Talk: The Making of X,2/23/2024 |  Opera Center, Opera Center,Readings & Lectures,Queen Anne / Seattle Center,No forecast available
Wreckno,2/23/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Kelly Akashi,Now through 2/24/2024 |  Henry Art Gallery, Henry Art Gallery,Museums,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Lower Depths,2/6/2024 through 2/24/2024 |  Erickson Theatre, Erickson Theatre,Theatre,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Dan Brown Wild Symphony,2/24/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Pink Sweat$,2/24/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Minnesota Wild,2/24/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Small Island Big Song,2/24/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Music,University District,Location not found
Born With Teeth,2/1/2024 through 2/25/2024 |  ArtsWest Playhouse and Gallery, ArtsWest Playhouse and Gallery,Theatre,West Seattle,Location not found
"Once More, Just For You",2/5/2024 through 2/25/2024 |  Seattle Public Theater, Seattle Public Theater,Theatre,Wallingford / Greenlake,"Rain likely. Mostly cloudy, with a high near 47. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Wintergrass Music Festival,2/22/2024 through 2/25/2024 |  Hyatt Regency Bellevue, Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside,"Rain likely. Mostly cloudy, with a high near 48. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Boston Bruins,2/26/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024 |  Benaroya Hall, Benaroya Hall,Readings & Lectures,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Playboi Carti,2/28/2024 |  Climate Pledge Arena, Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Winter Brilliance,Now through 2/29/2024 |  Chihuly Garden and Glass, Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Museum Month,2/1/2024 through 2/29/2024 |  Downtown Seattle, Downtown Seattle,Museums,Downtown,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Human Family,2/29/2024 |  LANGSTON Seattle, LANGSTON Seattle,Music,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Fall Out Boy,3/1/2024 |  Climate Pledge Arena, Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Tacoma Stars vs. Harrisburg Heat,3/1/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Edmonton Oilers,3/2/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Emerald City Comic Con,2/29/2024 through 3/3/2024 |  Seattle Convention Center, Seattle Convention Center,Festivals & Special Events,Downtown,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Tacoma Stars vs. Harrisburg Heat,3/3/2024 |  accesso ShoWare Center, accesso ShoWare Center,Music,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Calidore Quartet & Abeo Quartet,3/8/2024 |  415 Westlake, 415 Westlake,Music,Queen Anne / Seattle Center,"Rain likely. Cloudy, with a high near 47. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Holding / Movement,3/8/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Winnipeg Jets,3/8/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Bach St. John Passion,3/7/2024 through 3/9/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Helene Grimaud,3/9/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Music,University District,Location not found
Positive Fragmentation,Now through 3/10/2024 |  Bellevue Arts Museum, Bellevue Arts Museum,Museums,Bellevue / Eastside,No forecast available
Antonio M. Gomez: LINEAJES,Now through 3/10/2024 |  Frye Art Museum, Frye Art Museum,Museums,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Soren Solkaer: Sort Sol,Now through 3/10/2024 |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Luchadora!,2/22/2024 through 3/10/2024 |  Seattle Children's Theatre, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024 |  Benaroya Hall, Benaroya Hall,Readings & Lectures,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Vegas Golden Knights,3/12/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Washington Capitals,3/14/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Music,University District,Location not found
Sibelius & Nielsen,3/14/2024 through 3/16/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Nashville Predators,3/16/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Native Portraiture: Power and Perception,Now through 3/17/2024 |  Tacoma Art Museum, Tacoma Art Museum,Museums,South,"Rain likely. Mostly cloudy, with a high near 50. South southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Places to Call Home: Settlements in the West,Now through 3/17/2024 |  Tacoma Art Museum, Tacoma Art Museum,Museums,South,"Rain likely. Mostly cloudy, with a high near 50. South southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Nobody Lives Here,Now through 3/17/2024 |  Wing Luke Museum, Wing Luke Museum,Museums,International District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Rootabaga Country,3/8/2024 through 3/17/2024 |  Opera Center, Opera Center,Music,Queen Anne / Seattle Center,No forecast available
Seattle Kraken vs. Buffalo Sabres,3/18/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Tacoma Stars vs. Empire Strykers,3/23/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,"Rain likely. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Something’s Afoot,3/1/2024 through 3/24/2024 |  The 5th Avenue Theatre, The 5th Avenue Theatre,Theatre,Downtown,"Sunny, with a high near 34. Southwest wind 5 to 10 mph."
One Thousand Pieces,3/15/2024 through 3/24/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Montreal Canadiens,3/24/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Anaheim Ducks,3/26/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Anaheim Ducks,3/28/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Tim McGraw,3/29/2024 |  Climate Pledge Arena, Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Harold and the Purple Crayon,3/23/2024 through 3/30/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Dallas Stars,3/30/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Illuminate: Glass Art for Early Learners,Now through 3/31/2024 |  Museum of Glass, Museum of Glass,Museums,South,"Rain likely. Mostly cloudy, with a high near 50. South southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024 |  Museum of History & Industry, Museum of History & Industry,Museums,Queen Anne / Seattle Center,No forecast available
Sanctuary City,3/1/2024 through 3/31/2024 |  Seattle Rep, Seattle Rep,Theatre,Queen Anne / Seattle Center,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Stew,3/15/2024 through 3/31/2024 |  ACT Theatre, ACT Theatre,Theatre,Downtown,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Luis Miguel,4/4/2024 |  Climate Pledge Arena, Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Taylor Raven and Duke Kim in Recital,4/4/2024 |  Opera Center, Opera Center,Music,Queen Anne / Seattle Center,No forecast available
Copland Appalachian Spring,4/4/2024 through 4/6/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024 |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Beetlejuice,4/2/2024 through 4/7/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
Seattle Kraken vs. Arizona Coyotes,4/9/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. San Jose Sharks,4/11/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024 |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Moors,3/22/2024 through 4/14/2024 |  Seattle Public Theater, Seattle Public Theater,Theatre,Wallingford / Greenlake,"Rain likely. Mostly cloudy, with a high near 47. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Mahler Symphony No. 3,4/11/2024 through 4/14/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024 |  Magnuson Park, Magnuson Park,Festivals & Special Events,University District,"Rain likely. Mostly cloudy, with a high near 48. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
An Evening with Jinjoo Cho,4/19/2024 |  415 Westlake, 415 Westlake,Music,Queen Anne / Seattle Center,"Rain likely. Cloudy, with a high near 47. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Seasons’ Canon,4/12/2024 through 4/21/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
DRUM TAO 30th Anniversary,4/22/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Disney’s Aladdin,4/24/2024 through 4/28/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
Antarctic Symphony,4/25/2024 through 4/28/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Shine On Seattle,1/30/2024 through 4/29/2024 |  Pioneer Square, Pioneer Square,Festivals & Special Events,Pioneer Square,"Rain likely. Cloudy. High near 44, with temperatures falling to around 42 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
Noah Geller’s Playlist,5/3/2024 through 5/4/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Broadway Spectacular,5/4/2024 |  Cornish Playhouse at Seattle Center, Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center,Location not found
Jessica Jackson Hutchins: Wrecked and Righteous,1/27/2024 through 5/5/2024 |  Frye Art Museum, Frye Art Museum,Museums,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Lion Tells His Tale,5/1/2024 through 5/5/2024 |  Broadway Performance Hall, Broadway Performance Hall,Theatre,Capitol Hill / Central District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024 |  Wing Luke Museum, Wing Luke Museum,Museums,International District,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Fat Ham,4/12/2024 through 5/12/2024 |  Seattle Rep, Seattle Rep,Theatre,Queen Anne / Seattle Center,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024 |  Seattle Children's Theatre, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
The Lehman Trilogy,4/26/2024 through 5/12/2024 |  ACT Theatre, ACT Theatre,Theatre,Downtown,"Rain likely. Cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
